,0
MaxAbsEStateIndex,0
MinEStateIndex,0
SPS,0
MolWt,0
FpDensityMorgan3,0
BCUT2D_MWHI,5
AvgIpc,0
BalabanJ,0
Ipc,0
Kappa3,0
PEOE_VSA1,0
PEOE_VSA10,0
PEOE_VSA11,0
PEOE_VSA12,0
PEOE_VSA13,0
PEOE_VSA14,0
PEOE_VSA2,0
PEOE_VSA3,0
PEOE_VSA4,0
PEOE_VSA5,0
PEOE_VSA6,0
PEOE_VSA7,0
PEOE_VSA8,0
PEOE_VSA9,0
SMR_VSA10,0
SMR_VSA2,0
SMR_VSA3,0
SMR_VSA4,0
SMR_VSA6,0
SMR_VSA7,0
SMR_VSA9,0
SlogP_VSA1,0
SlogP_VSA10,0
SlogP_VSA12,0
SlogP_VSA3,0
SlogP_VSA7,0
SlogP_VSA8,0
EState_VSA11,0
EState_VSA2,0
EState_VSA3,0
EState_VSA4,0
EState_VSA5,0
EState_VSA6,0
EState_VSA7,0
EState_VSA8,0
EState_VSA9,0
VSA_EState1,0
VSA_EState3,0
VSA_EState4,0
VSA_EState5,0
VSA_EState6,0
VSA_EState7,0
VSA_EState8,0
VSA_EState9,0
NumAliphaticCarbocycles,0
NumAliphaticHeterocycles,0
NumAromaticHeterocycles,0
NumRotatableBonds,0
RingCount,0
MolLogP,0
fr_Al_COO,0
fr_Ar_OH,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_amide,0
fr_aniline,0
fr_aryl_methyl,0
fr_bicyclic,0
fr_ester,0
fr_ether,0
fr_ketone,0
fr_methoxy,0
fr_para_hydroxylation,0
fr_piperdine,0
fr_sulfide,0
fr_unbrch_alkane,0
