,Y_predicha,Y_entrenamiento,Resultado
7176,BBB-,BBB+,FN
6724,BBB-,BBB+,FN
132,BBB-,BBB+,FN
641,BBB-,BBB+,FN
5119,BBB-,BBB+,FN
6960,BBB-,BBB+,FN
2276,BBB-,BBB+,FN
7498,BBB-,BBB+,FN
429,BBB-,BBB+,FN
315,BBB-,BBB+,FN
6984,BBB-,BBB+,FN
6734,BBB-,BBB+,FN
3949,BBB-,BBB+,FN
3954,BBB-,BBB+,FN
4003,BBB-,BBB+,FN
7049,BBB-,BBB+,FN
6832,BBB-,BBB+,FN
2415,BBB-,BBB+,FN
7579,BBB-,BBB+,FN
2351,BBB-,BBB+,FN
5260,BBB-,BBB+,FN
7497,BBB-,BBB+,FN
1554,BBB-,BBB+,FN
393,BBB-,BBB+,FN
7753,BBB-,BBB+,FN
7283,BBB-,BBB+,FN
7621,BBB-,BBB+,FN
233,BBB-,BBB+,FN
169,BBB-,BBB+,FN
6829,BBB-,BBB+,FN
7190,BBB-,BBB+,FN
7369,BBB-,BBB+,FN
6955,BBB-,BBB+,FN
239,BBB-,BBB+,FN
7751,BBB-,BBB+,FN
4086,BBB-,BBB+,FN
5018,BBB-,BBB+,FN
7656,BBB-,BBB+,FN
7642,BBB-,BBB+,FN
445,BBB-,BBB+,FN
2585,BBB-,BBB+,FN
308,BBB-,BBB+,FN
7591,BBB-,BBB+,FN
4034,BBB-,BBB+,FN
2758,BBB-,BBB+,FN
3833,BBB-,BBB+,FN
1952,BBB-,BBB+,FN
6825,BBB-,BBB+,FN
245,BBB-,BBB+,FN
321,BBB-,BBB+,FN
3885,BBB-,BBB+,FN
642,BBB-,BBB+,FN
131,BBB-,BBB+,FN
3951,BBB-,BBB+,FN
167,BBB-,BBB+,FN
7590,BBB-,BBB+,FN
6803,BBB-,BBB+,FN
3908,BBB-,BBB+,FN
4017,BBB-,BBB+,FN
1281,BBB-,BBB+,FN
168,BBB-,BBB+,FN
7619,BBB-,BBB+,FN
6875,BBB-,BBB+,FN
6715,BBB-,BBB+,FN
7477,BBB-,BBB+,FN
3857,BBB-,BBB+,FN
585,BBB-,BBB+,FN
4032,BBB-,BBB+,FN
5663,BBB-,BBB+,FN
7425,BBB-,BBB+,FN
7414,BBB-,BBB+,FN
6928,BBB-,BBB+,FN
7151,BBB-,BBB+,FN
7356,BBB-,BBB+,FN
1965,BBB-,BBB+,FN
5255,BBB-,BBB+,FN
7168,BBB-,BBB+,FN
346,BBB-,BBB+,FN
418,BBB-,BBB+,FN
1149,BBB-,BBB+,FN
3929,BBB-,BBB+,FN
7403,BBB-,BBB+,FN
3855,BBB-,BBB+,FN
1893,BBB-,BBB+,FN
7169,BBB-,BBB+,FN
7451,BBB-,BBB+,FN
432,BBB-,BBB+,FN
3172,BBB-,BBB+,FN
