,Y_predicha,Y_entrenamiento,Resultado
5628,BBB+,BBB-,FP
5325,BBB+,BBB-,FP
3947,BBB+,BBB-,FP
101,BBB+,BBB-,FP
5201,BBB+,BBB-,FP
5712,BBB+,BBB-,FP
5830,BBB+,BBB-,FP
4046,BBB+,BBB-,FP
7770,BBB+,BBB-,FP
5752,BBB+,BBB-,FP
37,BBB+,BBB-,FP
5677,BBB+,BBB-,FP
5945,BBB+,BBB-,FP
3941,BBB+,BBB-,FP
5766,BBB+,BBB-,FP
5804,BBB+,BBB-,FP
5610,BBB+,BBB-,FP
5807,BBB+,BBB-,FP
65,BBB+,BBB-,FP
5091,BBB+,BBB-,FP
2303,BBB+,BBB-,FP
5329,BBB+,BBB-,FP
5773,BBB+,BBB-,FP
3975,BBB+,BBB-,FP
6309,BBB+,BBB-,FP
61,BBB+,BBB-,FP
5902,BBB+,BBB-,FP
79,BBB+,BBB-,FP
3995,BBB+,BBB-,FP
4051,BBB+,BBB-,FP
5461,BBB+,BBB-,FP
5747,BBB+,BBB-,FP
5925,BBB+,BBB-,FP
2301,BBB+,BBB-,FP
4085,BBB+,BBB-,FP
5838,BBB+,BBB-,FP
5242,BBB+,BBB-,FP
3834,BBB+,BBB-,FP
3921,BBB+,BBB-,FP
5664,BBB+,BBB-,FP
5402,BBB+,BBB-,FP
2549,BBB+,BBB-,FP
7765,BBB+,BBB-,FP
5550,BBB+,BBB-,FP
4092,BBB+,BBB-,FP
4010,BBB+,BBB-,FP
1128,BBB+,BBB-,FP
5347,BBB+,BBB-,FP
5146,BBB+,BBB-,FP
5602,BBB+,BBB-,FP
106,BBB+,BBB-,FP
5495,BBB+,BBB-,FP
5174,BBB+,BBB-,FP
5671,BBB+,BBB-,FP
5107,BBB+,BBB-,FP
5852,BBB+,BBB-,FP
2586,BBB+,BBB-,FP
5679,BBB+,BBB-,FP
6077,BBB+,BBB-,FP
6956,BBB+,BBB-,FP
3982,BBB+,BBB-,FP
5324,BBB+,BBB-,FP
7792,BBB+,BBB-,FP
5433,BBB+,BBB-,FP
80,BBB+,BBB-,FP
1858,BBB+,BBB-,FP
4316,BBB+,BBB-,FP
5493,BBB+,BBB-,FP
58,BBB+,BBB-,FP
6865,BBB+,BBB-,FP
5649,BBB+,BBB-,FP
5391,BBB+,BBB-,FP
3945,BBB+,BBB-,FP
7772,BBB+,BBB-,FP
2354,BBB+,BBB-,FP
7794,BBB+,BBB-,FP
5909,BBB+,BBB-,FP
5537,BBB+,BBB-,FP
5106,BBB+,BBB-,FP
5897,BBB+,BBB-,FP
4050,BBB+,BBB-,FP
5314,BBB+,BBB-,FP
5388,BBB+,BBB-,FP
5186,BBB+,BBB-,FP
100,BBB+,BBB-,FP
5020,BBB+,BBB-,FP
3960,BBB+,BBB-,FP
5338,BBB+,BBB-,FP
3838,BBB+,BBB-,FP
3859,BBB+,BBB-,FP
7777,BBB+,BBB-,FP
8,BBB+,BBB-,FP
5694,BBB+,BBB-,FP
7723,BBB+,BBB-,FP
5518,BBB+,BBB-,FP
5489,BBB+,BBB-,FP
5704,BBB+,BBB-,FP
