,group,SMILES,Tipo
0,A,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,FP
1,A,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(O)CC2)n1,FP
2,A,CCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,FP
3,A,CN1[C@H]2CC[C@H]1[C@@H](CC(=O)O)[C@@H](OC(=O)c1ccccc1)C2,FP
4,A,NCC1(Cc2noc(=O)[nH]2)CCCCC1,FP
5,A,NCCc1nc(-c2ccccc2)cs1,FP
6,A,Nc1ccn(C2CCC(CO)O2)c(=O)n1,FP
7,A,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,FP
8,A,CCOc1ccc(Cc2nc3cc(N(C)S(=O)(=O)c4cccs4)ccc3n2CC2CCCCC2)nc1,FP
9,B,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,FP
10,B,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,FP
11,B,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,FP
12,B,OCc1cccnc1,FP
13,B,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,FP
14,B,CC(C)c1nnc(N2CCn3nc([C@@H](O)c4nccn4C)cc3C2)s1,FP
15,B,CCCO[C@H](C)c1ccc(C)c(N)c1,FP
16,B,CCOC[C@]1(CN)[C@@H](S(C)(=O)=O)[C@@H]1c1ccc2c(c1)OCO2,FP
17,B,COC(=O)C[C@H](c1ccc2c(c1)OCO2)c1cc2c(cc1O)OCO2,FP
18,B,CO[C@H]1C(=O)N(c2cccc(F)c2)[C@@H]1C(=O)O,FP
19,B,COc1cc(CNC(=O)[C@@H](C)Sc2ccc(C)cc2)ccc1OC(C)C,FP
20,B,COc1cc(OC)c(OC)cc1/C=C1/Oc2c(ccc3c2[C@H](c2cc(OC)c(OC)c(OC)c2)CC(=O)O3)C1=O,FP
21,B,COc1ccc(NC(=O)C[C@@H]2OC(=O)c3c2ccc(OC)c3OC)cc1N1CCCS1(=O)=O,FP
22,B,COc1ccc([C@H]2[C@@H](C#N)[C@@H]2S(=O)(=O)c2ccc(Cl)cc2)cc1,FP
23,B,COc1ccccc1N1CCN(C(=O)COc2cc(C)cc(C)c2C)CC1,FP
24,B,Cc1ccc(S[C@@H](C)C(=O)N(C)Cc2nc(-c3ccccc3Cl)no2)cc1,FP
25,B,Cc1ccc(S[C@H](C)C(=O)NCc2nc(-c3cccc(Br)c3)no2)cc1,FP
26,B,Cc1ccc([C@@H](C)NC(=O)CCSc2ccccc2)cc1C,FP
27,B,O=C(NCCCc1ccc(F)cc1)c1ccc([C@H]2SCC(=O)N2Cc2ccccc2)cc1,FP
28,B,O=C(O)CC[C@@]1(CCC(=O)NCc2cc3cc(F)ccc3[nH]2)CCC(=O)N1,FP
29,B,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,FP
30,C,CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,FP
31,C,CC(=O)OCC(=O)C1(O)C(O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,FP
32,C,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,FP
33,C,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,FP
34,C,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,FP
35,C,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1,FP
36,C,COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C,FP
37,C,C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,FP
38,C,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,FP
39,C,Cc1ccc2c(-c3ccccc3)nc(=O)n(C(C)C)c2c1,FP
40,C,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,FP
41,C,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,FP
42,C,CC[N+](C)(C)c1cccc(O)c1,FP
43,C,CCc1ccc(C(C)CCc2ccc([N+](C)(C)C)cc2)cc1,FP
44,C,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,FP
45,C,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,FP
46,C,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,FP
47,C,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,FP
48,C,CC1=CC(=O)c2ccccc2C1=O,FP
49,C,CC1CCC(C(C)C)C(O)C1,FP
50,C,CC1OC2(CS1)CN1CCC2CC1,FP
51,C,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,FP
52,C,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,FP
53,C,CCOc1ccc(CC2=NCCc3cc(OCC)c(OCC)cc32)cc1OCC,FP
54,C,CNC1(C)C2CCC(C2)C1(C)C,FP
55,C,CSc1nc2cc(Oc3cccc(Cl)c3Cl)c(Cl)cc2[nH]1,FP
56,C,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,FP
57,C,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,FP
58,C,NC1CCCCC1N,FP
59,C,NCCc1ccn[nH]1,FP
60,C,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,FP
61,C,O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,FP
62,C,CC(C)(C)NC(=O)[C@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@@H]1O,FP
63,C,CC[C@@]12C=CCN3CC[C@@]4(c5cc([C@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@@](O)(CC)C7)c(OC)cc5N(C)[C@H]4[C@](O)(C(=O)OC)[C@H]1OC(C)=O)[C@H]32,FP
64,C,CC(C)(C)NC(=O)[C@H]1CN(Cc2cccnc2)CCN1C[C@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@@H]1O,FP
65,C,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,FP
66,D,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,FP
67,D,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,FP
68,D,CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,FP
69,D,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,FP
70,D,Cn1cc[nH]c1=S,FP
