,Y_predicha,Y_entrenamiento,Resultado
7176,BBB-,BBB+,FN
6724,BBB-,BBB+,FN
6339,BBB-,BBB+,FN
2412,BBB-,BBB+,FN
132,BBB-,BBB+,FN
641,BBB-,BBB+,FN
5119,BBB-,BBB+,FN
6960,BBB-,BBB+,FN
2276,BBB-,BBB+,FN
7498,BBB-,BBB+,FN
315,BBB-,BBB+,FN
6984,BBB-,BBB+,FN
6734,BBB-,BBB+,FN
3877,BBB-,BBB+,FN
457,BBB-,BBB+,FN
7049,BBB-,BBB+,FN
6832,BBB-,BBB+,FN
7353,BBB-,BBB+,FN
5260,BBB-,BBB+,FN
7497,BBB-,BBB+,FN
393,BBB-,BBB+,FN
169,BBB-,BBB+,FN
6829,BBB-,BBB+,FN
4669,BBB-,BBB+,FN
7190,BBB-,BBB+,FN
7369,BBB-,BBB+,FN
6955,BBB-,BBB+,FN
7422,BBB-,BBB+,FN
408,BBB-,BBB+,FN
487,BBB-,BBB+,FN
239,BBB-,BBB+,FN
4086,BBB-,BBB+,FN
2024,BBB-,BBB+,FN
3880,BBB-,BBB+,FN
5018,BBB-,BBB+,FN
7656,BBB-,BBB+,FN
7591,BBB-,BBB+,FN
2758,BBB-,BBB+,FN
1952,BBB-,BBB+,FN
6825,BBB-,BBB+,FN
3885,BBB-,BBB+,FN
486,BBB-,BBB+,FN
6554,BBB-,BBB+,FN
131,BBB-,BBB+,FN
3951,BBB-,BBB+,FN
167,BBB-,BBB+,FN
7590,BBB-,BBB+,FN
6803,BBB-,BBB+,FN
3908,BBB-,BBB+,FN
168,BBB-,BBB+,FN
7619,BBB-,BBB+,FN
7663,BBB-,BBB+,FN
5912,BBB-,BBB+,FN
7477,BBB-,BBB+,FN
3857,BBB-,BBB+,FN
585,BBB-,BBB+,FN
852,BBB-,BBB+,FN
3534,BBB-,BBB+,FN
5663,BBB-,BBB+,FN
1721,BBB-,BBB+,FN
7425,BBB-,BBB+,FN
7414,BBB-,BBB+,FN
6928,BBB-,BBB+,FN
7151,BBB-,BBB+,FN
156,BBB-,BBB+,FN
7356,BBB-,BBB+,FN
1965,BBB-,BBB+,FN
2357,BBB-,BBB+,FN
1153,BBB-,BBB+,FN
7168,BBB-,BBB+,FN
7614,BBB-,BBB+,FN
346,BBB-,BBB+,FN
418,BBB-,BBB+,FN
7403,BBB-,BBB+,FN
7169,BBB-,BBB+,FN
7451,BBB-,BBB+,FN
432,BBB-,BBB+,FN
3172,BBB-,BBB+,FN
