,Molecule ChEMBL ID,Standard Value_EGFR,Standard Value_MAPK1,Standard Value_SRC,Actividad_EGFR,Actividad_MAPK1,Actividad_SRC
0,CHEMBL2178352,0.4,10000.0,290.0,1,0,1
13,CHEMBL388978,78.0,370.0,9.7,1,1,1
24,CHEMBL569880,11.0,10000.0,100.0,1,0,1
25,CHEMBL571040,24.0,10000.0,800.0,1,0,1
44,CHEMBL1336,50000.0,109.5,390.0,0,1,1
54,CHEMBL4798527,651.0,10000.0,3.0,1,0,1
62,CHEMBL1090360,610.0,1000.0,310.0,1,0,1
67,CHEMBL1684800,101.4,11380.0,4.79,1,0,1
80,CHEMBL4062877,5.3,574.7,5.7,1,1,1
82,CHEMBL4105329,3.1,960.2,3.9,1,1,1
83,CHEMBL4067871,4.2,1000.0,6.4,1,0,1
87,CHEMBL4075917,8.1,1000.0,6.0,1,0,1
91,CHEMBL4568087,340.0,230.0,3.0,1,1,1
