Names	total	elements
EGFR ESR1 SRC STAT3	1	CHEMBL44
EGFR MAPK1 SRC STAT3	1	CHEMBL1448
EGFR ESR1 MAPK1	3	CHEMBL319244
		CHEMBL290106
		CHEMBL496
EGFR MAPK1 SRC	94	CHEMBL2312304
		CHEMBL4873571
		CHEMBL2312290
		CHEMBL323336
		CHEMBL2312303
		CHEMBL4438748
		CHEMBL3903725
		CHEMBL3745885
		CHEMBL4075917
		CHEMBL207687
		CHEMBL4569508
		CHEMBL208292
		CHEMBL383246
		CHEMBL3818247
		CHEMBL207718
		CHEMBL207584
		CHEMBL4568087
		CHEMBL4062877
		CHEMBL1929238
		CHEMBL3741589
		CHEMBL571040
		CHEMBL208118
		CHEMBL4634634
		CHEMBL4474690
		CHEMBL106966
		CHEMBL207674
		CHEMBL379601
		CHEMBL376967
		CHEMBL437885
		CHEMBL1933552
		CHEMBL204420
		CHEMBL207130
		CHEMBL3133821
		CHEMBL380006
		CHEMBL1090360
		CHEMBL3884319
		CHEMBL590109
		CHEMBL207246
		CHEMBL383760
		CHEMBL1916359
		CHEMBL1945559
		CHEMBL1990583
		CHEMBL382822
		CHEMBL4097778
		CHEMBL4105329
		CHEMBL4067871
		CHEMBL206783
		CHEMBL207815
		CHEMBL3798631
		CHEMBL4550702
		CHEMBL4446681
		CHEMBL99743
		CHEMBL4552628
		CHEMBL207037
		CHEMBL377772
		CHEMBL2312301
		CHEMBL380454
		CHEMBL389745
		CHEMBL3798257
		CHEMBL1834657
		CHEMBL379905
		CHEMBL380386
		CHEMBL569880
		CHEMBL4564126
		CHEMBL382638
		CHEMBL4798527
		CHEMBL211003
		CHEMBL2178352
		CHEMBL406375
		CHEMBL208048
		CHEMBL2333365
		CHEMBL388978
		CHEMBL206955
		CHEMBL378370
		CHEMBL208286
		CHEMBL3426225
		CHEMBL103667
		CHEMBL195029
		CHEMBL207445
		CHEMBL1684800
		CHEMBL207235
		CHEMBL3651966
		CHEMBL1336
		CHEMBL380889
		CHEMBL4245507
		CHEMBL425601
		CHEMBL261849
		CHEMBL232601
		CHEMBL4276946
		CHEMBL2205766
		CHEMBL3785951
		CHEMBL1614712
		CHEMBL382823
		CHEMBL120077
EGFR SRC STAT3	3	CHEMBL5176684
		CHEMBL5177956
		CHEMBL504547
EGFR ESR1	5	CHEMBL83
		CHEMBL954
		CHEMBL4558162
		CHEMBL195437
		CHEMBL45068
EGFR MAPK1	65	CHEMBL280074
		CHEMBL383172
		CHEMBL24944
		CHEMBL402548
		CHEMBL1650551
		CHEMBL461139
		CHEMBL4225923
		CHEMBL2312654
		CHEMBL1650533
		CHEMBL1650545
		CHEMBL604712
		CHEMBL599224
		CHEMBL188386
		CHEMBL3785500
		CHEMBL597754
		CHEMBL2312645
		CHEMBL4520788
		CHEMBL3297762
		CHEMBL2385543
		CHEMBL3787112
		CHEMBL1087421
		CHEMBL12131
		CHEMBL2443138
		CHEMBL4083249
		CHEMBL603
		CHEMBL461140
		CHEMBL188502
		CHEMBL1270399
		CHEMBL3314140
		CHEMBL3786167
		CHEMBL1094408
		CHEMBL2312649
		CHEMBL3651854
		CHEMBL115220
		CHEMBL606964
		CHEMBL4228240
		CHEMBL103055
		CHEMBL564829
		CHEMBL190984
		CHEMBL4227082
		CHEMBL2443139
		CHEMBL1952210
		CHEMBL3298400
		CHEMBL3606021
		CHEMBL4535474
		CHEMBL18797
		CHEMBL599428
		CHEMBL2312652
