Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL1479,DANAZOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,IC50,'=',17790.0,nM
CHEMBL85650,,CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,IC50,'=',3.0,nM
CHEMBL101997,,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,IC50,'=',31.0,nM
CHEMBL100763,,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(Cl)cc1,IC50,'=',26.98,nM
CHEMBL394614,,O/N=C/c1ccc(-c2ccc(O)cc2)c2occc12,IC50,'=',1330.0,nM
CHEMBL327515,,Cc1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)cc1,IC50,'=',3.5,nM
CHEMBL183049,,C[C@H]1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1,IC50,'=',1.0,nM
CHEMBL286115,,O=C1c2ccc(O)cc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,IC50,'=',31.0,nM
CHEMBL396118,,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)n(C(=O)c2ccc(OCCN3CCCCC3)cc2)c2ccccc12,IC50,'=',175.0,nM
CHEMBL59438,,Oc1ccc(-c2ccc3cc(O)ccc3n2)cc1,IC50,'=',1775.0,nM
CHEMBL196583,,Oc1ccc(-c2ccc3c(Br)c(O)ccc3n2)cc1,IC50,'=',1140.0,nM
CHEMBL183489,,C[C@@H]1CCCN1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,IC50,'=',0.7,nM
CHEMBL364419,,O=Cc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,IC50,'=',263.0,nM
CHEMBL3425530,,Cc1cc2c(Cc3ccc(/C=C/C(=O)O)cc3)c(-c3ccc(OC(F)(F)F)cc3)c(=O)oc2cc1O,IC50,'=',10.0,nM
CHEMBL1548834,,O=C(COC(=O)c1ccccc1Oc1ccccc1)NCc1ccco1,IC50,'=',17914.5,nM
CHEMBL1312693,,COc1ccc2nc3oc(C(=O)N4CCN(c5cccc(C(F)(F)F)c5)CC4)cc3cc2c1,IC50,'=',15445.3,nM
CHEMBL1496978,,Cc1nnc(NC(=O)CSc2nc3c(c(=O)n2CCc2ccccc2)SC(C)C3)s1,IC50,'=',17543.88,nM
CHEMBL1327977,,O=C(COC(=O)CC1CCCC1)Nc1cc2c(cc1Cl)C(=O)c1ccccc1C2=O,IC50,'=',22253.44,nM
CHEMBL3189442,,COc1ccc(-c2nnc(SC/C(O)=C(/C#N)C(C)=N)o2)cc1,IC50,'=',30035.9,nM
