Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL319244,CAFFEIC ACID PHENETHYL ESTER,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,IC50,'=',686.0,nM
CHEMBL259551,,Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,IC50,'=',1900.0,nM
CHEMBL3695623,,CCNC(=O)Nc1ccc2ncc(-c3ccc(OCCCN4CCOCC4)cc3)nc2n1,IC50,'=',1800.0,nM
CHEMBL3662970,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4c(C)cc(Cl)cc4Cl)ncc23)ccn1,IC50,'=',2.868,nM
CHEMBL3658652,,C[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccc(=O)[nH]c3)c2cn1)c1ccc(F)cc1,IC50,'=',0.3037,nM
CHEMBL3658657,,COCCn1cc(-c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23)cn1,IC50,'=',28.03,nM
CHEMBL3658669,,COC[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccc4c(c3)nnn4C)c2cn1)c1ccc(F)cc1,IC50,'=',0.5622,nM
CHEMBL3658671,,COC[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccc(C#N)nc3)c2cn1)c1ccc(F)cc1,IC50,'=',3.211,nM
CHEMBL3658684,,CN1CC[C@@H](NC(=O)Nc2cc3[nH]nc(-c4ccc(F)cc4)c3cn2)C1,IC50,'=',1.845,nM
CHEMBL3658748,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCC(c4ccccn4)N4CCOCC4)ncc23)ccn1,IC50,'=',24.71,nM
CHEMBL3658752,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCC4(O)CCN(C)CC4)ncc23)ccn1,IC50,'=',6.66,nM
CHEMBL3658760,,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4CC(=O)Nc5ccc(F)cc54)ncc23)ccn1,IC50,'=',8.465,nM
CHEMBL3658772,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4nc5ccccc5[nH]4)ncc23)ccn1,IC50,'=',1.999,nM
CHEMBL3658799,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4nccs4)ncc23)ccn1,IC50,'=',2.141,nM
CHEMBL3658807,,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4c(C)cccc4Cl)ncc23)ccn1,IC50,'=',1.116,nM
CHEMBL3662959,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccc(F)cn4)ncc23)ccn1,IC50,'=',0.8579,nM
CHEMBL3663116,,C[C@@H](NC(=O)Nc1cc2[nH]nc(C(F)F)c2cn1)c1ccccn1,IC50,'=',764.9,nM
CHEMBL3663119,,Cc1nnc(-c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23)o1,IC50,'=',7.701,nM
CHEMBL3663120,,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23)no1,IC50,'=',32.42,nM
CHEMBL3663130,,O=C(Nc1cc2[nH]nc(C(F)F)c2cn1)N[C@H](COCC1CC1)c1ccccc1,IC50,'=',21.36,nM
CHEMBL3671100,,O=C(NCCCCc1ccccc1)Nc1ccc2ncc(-c3cnn(CCCO)c3)nc2n1,IC50,'=',2.0,nM
CHEMBL3671105,,C[C@H](CCCc1ccccc1)NC(=O)Nc1ccc2ncc(-c3ccc(CO)cc3)nc2n1,IC50,'=',3.0,nM
