Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL101917,,COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3Cl)c2cc1OC,IC50,'=',5200.0,nM
CHEMBL295902,,COC(=O)C(=O)C(=O)c1ccc(CC(NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O)cc1,IC50,'=',8600.0,nM
CHEMBL2111833,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCCCc2cc(OCC3CCCCC3)c(C(N)=O)cc21,IC50,'=',100.0,nM
CHEMBL77303,,Oc1ccc2c(ncn2-c2ccccc2)c1O,IC50,'=',460.0,nM
CHEMBL128705,,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCOCC4)c(OC)cc23)c(Br)cc1Cl,IC50,'=',0.95,nM
CHEMBL311318,,C=CCOc1ccc2c(c1)ncn2-c1ccccc1,IC50,'>',50000.0,nM
CHEMBL218738,,Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccccn3)nnc2c1,IC50,'>',50000.0,nM
CHEMBL1421,DASATINIB,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,IC50,'=',0.5,nM
CHEMBL373582,,COc1cc(Nc2c(C#N)cnc3cc(-c4ccccc4)sc23)c(Cl)cc1Cl,IC50,'>',10000.0,nM
CHEMBL222548,,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(N5CCN(C)CC5)c4)sc23)c(Cl)cc1Cl,IC50,'=',1200.0,nM
CHEMBL75964,,Oc1cccc2c1ncn2-c1ccccc1,IC50,'>',50000.0,nM
CHEMBL297523,,CCN(CC)CCOc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,IC50,'=',17.0,nM
