Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL503946,,C[S+]([O-])CC[C@H](NC(=O)[C@@H]1Cc2cccc3c2N1C(=O)[C@@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)CC3)C(N)=O,IC50,'=',7600.0,nM
CHEMBL515762,,NC(=O)C1CCN(C(=O)[C@@H]2Cc3cccc4c3N2C(=O)[C@@H](NC(=O)/C=C/c2ccc(OP(=O)(O)O)cc2)CC4)C1,IC50,'=',595.0,nM
CHEMBL196561,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)NCCCC(N)=O,IC50,'=',1780.0,nM
CHEMBL4164056,,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H](C)O[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@@H]4OC=C(C(=O)OC)[C@H]5C[C@H](OC)O[C@@H](C)[C@@H]45)O[C@@H]3CO)C[C@H]12,IC50,'=',79100.0,nM
CHEMBL575484,,CC(C)C[C@H](CCC(N)=O)NC(=O)[C@@H]1[C@@H]2C[C@@H]2CN1C(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1,IC50,'=',1630.0,nM
CHEMBL3337613,,Cc1cc(C)c2nc(Nc3nc(=O)cc(-c4ccccc4)[nH]3)nc(C)c2c1,IC50,'=',11200.0,nM
CHEMBL574875,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)NCCCC(=O)NO,IC50,'=',2640.0,nM
CHEMBL573643,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)COC(N)=O,IC50,'=',615.0,nM
CHEMBL584974,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)CN1CCOCC1,IC50,'=',1530.0,nM
CHEMBL573980,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](CN)CCC(N)=O,IC50,'=',1240.0,nM
CHEMBL414034,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](COC(N)=O)C(=O)NCc1ccccc1,IC50,'=',379.0,nM
